frame,yolo_ms,vlm_ms,caption
1,2083.649800000785,3020.537599999443,"The person has dark hair, wears glasses, and is wearing a sleeveless top with yellow accents."
2,18.55480000085663,873.126599999523,"The person has dark hair, wears glasses, and is wearing a yellow and black tank top."
3,16.546199998629163,840.2155000003404,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
4,16.5249000001495,843.466599999374,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
5,16.49349999934202,846.503799999482,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
6,16.635999998470652,854.6103999997285,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
7,16.74559999992198,909.7884999991948,"The person has dark hair, wears glasses with blue lenses, and is wearing a black and yellow tank top."
8,16.790599998785183,924.942400000873,"The person has dark hair, wears glasses with blue lenses, and is wearing a black and yellow tank top."
9,18.979100001160987,912.6863000001322,"The person has dark hair, wears glasses with blue lenses, and is wearing a black and yellow tank top."
10,16.52979999926174,913.4995000003983,"The person has dark hair, wears glasses with blue lenses, and is wearing a black and yellow tank top."
11,16.920199999731267,935.7741999992868,"The person has dark hair, wears glasses with blue lenses, and is wearing a black and yellow tank top."
12,16.5153999987524,838.8957000006485,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
13,20.019800000227406,878.3750000002328,"The person has dark hair, wears glasses, and is wearing a yellow and black tank top."
14,16.376200001104735,843.0905000004714,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
15,16.813600001114537,830.4895000001125,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
16,22.170199999891338,830.3953999984515,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
17,16.478199999255594,843.46110000115,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
18,16.770000000178698,853.0425999997533,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
19,16.507300000739633,862.4708000006649,"The person has dark hair, wears glasses, and is wearing a yellow and black tank top."
20,16.780800000560703,861.6363000001002,"The person has dark hair, wears glasses, and is wearing a black and yellow tank top."
